1408510377
    0	    0	    0	    0	    0	    0	  ||	 4.86	    0	0	
   30	    0	    0	    0	    0	    0	  ||	 12.4	    0	0	
   60	    0	    0	    0	    0	    0	  ||	 15.5	    0	0	
   90	    0	    0	    0	    0	    0	  ||	 18.4	    0	0	
  120	    0	    0	    0	    0	    0	  ||	 17.6	    0	0	
  150	    0	    0	    0	    0	    0	  ||	 18.5	    0	0	
  180	    0	    0	    0	    0	    0	  ||	 19.1	    0	0	
  210	    0	    0	    0	    0	    0	  ||	 19.4	    0	0	
  240	    0	    0	    0	    0	    0	  ||	 19.2	    0	0	
  270	    0	    0	    0	    0	    0	  ||	 18.7	    0	0	
  300	    0	    0	    0	    0	    0	  ||	   18	    0	0	
  330	    0	    0	    0	    0	    0	  ||	 16.9	    0	0	
  360	    0	    0	    0	    0	    0	  ||	 15.7	    0	0	
  390	    0	    0	    0	    0	    0	  ||	 14.4	    0	0	
  420	    0	    0	    0	    0	    0	  ||	 13.1	    0	0	
  450	    0	    0	    0	    0	    0	  ||	 11.7	    0	0	
  480	    0	    0	    0	    0	    0	  ||	 10.4	    0	0	
  510	    0	    0	    0	    0	    0	  ||	 9.11	    0	0	
  540	    0	    0	    0	    0	    0	  ||	 8.16	    0	0	
  570	    0	    0	    0	    0	    0	  ||	 7.23	    0	0	
  600	    0	    0	    0	    0	    0	  ||	 6.41	    0	0	
  630	    0	    0	    0	    0	    0	  ||	 5.76	    0	0	
  660	    0	    0	    0	    0	    0	  ||	 5.22	    0	0	
  690	    0	    0	    0	    0	    0	  ||	 4.78	    0	0	
  720	    0	    0	    0	    0	    0	  ||	 4.43	    0	0	
  750	    0	    0	    0	    0	    0	  ||	 4.23	    0	0	
  780	    0	    0	    0	    0	    0	  ||	 4.04	    0	0	
  810	    0	    0	    0	    0	    0	  ||	  3.9	    0	0	
  840	    0	    0	    0	    0	    0	  ||	 3.75	    0	0	
  870	    0	    0	    0	    0	    0	  ||	 3.73	    0	0	
  900	    0	    0	    0	    0	    0	  ||	 3.72	    0	0	
  930	    0	    0	    0	    0	    0	  ||	 3.77	    0	0	
  960	    0	    0	    0	    0	    0	  ||	 3.81	    0	0	
  990	    0	    0	    0	    0	    0	  ||	 3.93	    0	0	
 1020	    0	    0	    0	    0	    0	  ||	 4.03	    0	0	
 1050	    0	    0	    0	    0	    0	  ||	 4.22	    0	0	
 1080	    0	    0	    0	    0	    0	  ||	 4.39	    0	0	
 1110	    0	    0	    0	    0	    0	  ||	 4.64	    0	0	
 1140	    0	    0	    0	    0	    0	  ||	 4.82	    0	0	
 1170	    0	    0	    0	    0	    0	  ||	 5.02	    0	0	
 1200	    0	    0	    0	    0	    0	  ||	 5.26	    0	0	
 1230	    0	    0	    0	    0	    0	  ||	 5.59	    0	0	
 1260	    0	    0	    0	    0	    0	  ||	 5.81	    0	0	
 1290	    0	    0	    0	    0	    0	  ||	 6.01	    0	0	
 1320	    0	    0	    0	    0	    0	  ||	 6.27	    0	0	
 1350	    0	    0	    0	    0	    0	  ||	 6.51	    0	0	
 1380	    0	    0	    0	    0	    0	  ||	 6.71	    0	0	
 1410	    0	    0	    0	    0	    0	  ||	 6.93	    0	0	
 1440	    0	    0	    0	    0	    0	  ||	 7.03	    0	0	
 1470	    0	    0	    0	    0	    0	  ||	  7.1	    0	0	
 1500	    0	    0	    0	    0	    0	  ||	    7	    0	0	
 1530	    0	    0	    0	    0	    0	  ||	 7.06	    0	0	
 1560	    0	    0	    0	    0	    0	  ||	 6.98	    0	0	
 1590	    0	    0	    0	    0	    0	  ||	 6.86	    0	0	
 1620	    0	    0	    0	    0	    0	  ||	 6.83	    0	0	
 1650	    0	    0	    0	    0	    0	  ||	 6.67	    0	0	
 1680	    0	    0	    0	    0	    0	  ||	  6.6	    0	0	
 1710	    0	    0	    0	    0	    0	  ||	 6.55	    0	0	
 1740	    0	    0	    0	    0	    0	  ||	  6.5	    0	0	
 1770	    0	    0	    0	    0	    0	  ||	 6.34	    0	0	
 1800	    0	    0	    0	    0	    0	  ||	 6.31	    0	0	
 1830	    0	    0	    0	    0	    0	  ||	 6.29	    0	0	
 1860	    0	    0	    0	    0	    0	  ||	 6.22	    0	0	
 1890	    0	    0	    0	    0	    0	  ||	 6.12	    0	0	
 1920	    0	    0	    0	    0	    0	  ||	 6.06	    0	0	
 1950	    0	    0	    0	    0	    0	  ||	 5.96	    0	0	
 1980	    0	    0	    0	    0	    0	  ||	 5.92	    0	0	
 2010	    0	    0	    0	    0	    0	  ||	 5.87	    0	0	
 2040	    0	    0	    0	    0	    0	  ||	 5.65	    0	0	
 2070	    0	    0	    0	    0	    0	  ||	 5.56	    0	0	
 2100	    0	    0	    0	    0	    0	  ||	 5.55	    0	0	
 2130	    0	    0	    0	    0	    0	  ||	 5.53	    0	0	
 2160	    0	    0	    0	    0	    0	  ||	 5.52	    0	0	
 2190	    0	    0	    0	    0	    0	  ||	 5.54	    0	0	
 2220	    0	    0	    0	    0	    0	  ||	 5.47	    0	0	
 2250	    0	    0	    0	    0	    0	  ||	 5.46	    0	0	
 2280	    0	    0	    0	    0	    0	  ||	 5.53	    0	0	
 2310	    0	    0	    0	    0	    0	  ||	 5.61	    0	0	
 2340	    0	    0	    0	    0	    0	  ||	 5.63	    0	0	
 2370	    0	    0	    0	    0	    0	  ||	  5.7	    0	0	
 2400	    0	    0	    0	    0	    0	  ||	 5.71	    0	0	
 2430	    0	    0	    0	    0	    0	  ||	 5.76	    0	0	
 2460	    0	    0	    0	    0	    0	  ||	 5.81	    0	0	
 2490	    0	    0	    0	    0	    0	  ||	  5.8	    0	0	
 2520	    0	    0	    0	    0	    0	  ||	 5.77	    0	0	
 2550	    0	    0	    0	    0	    0	  ||	 5.82	    0	0	
