    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 4.82	    0	0	
   30	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 20.3	    0	0	
   60	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 31.8	    0	0	
   90	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 45.1	    0	0	
  120	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   56	    0	0	
  150	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 63.3	    0	0	
  180	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 67.3	    0	0	
  210	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 68.4	    0	0	
  240	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 67.9	    0	0	
  270	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 66.5	    0	0	
  300	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 64.4	    0	0	
  330	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 61.9	    0	0	
  360	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 59.3	    0	0	
  390	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 56.6	    0	0	
  420	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 53.8	    0	0	
  450	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 51.2	    0	0	
  480	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 48.6	    0	0	
  510	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 46.2	    0	0	
  540	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 43.8	    0	0	
  570	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 41.7	    0	0	
  600	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 39.7	    0	0	
  630	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 37.9	    0	0	
  660	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 36.2	    0	0	
  690	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 34.7	    0	0	
  720	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 33.3	    0	0	
  750	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   32	    0	0	
  780	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 30.9	    0	0	
  810	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 29.9	    0	0	
  840	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 28.9	    0	0	
  870	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   28	    0	0	
  900	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 27.3	    0	0	
  930	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 26.6	    0	0	
  960	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   26	    0	0	
  990	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 25.5	    0	0	
 1020	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 25.1	    0	0	
 1050	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 24.8	    0	0	
 1080	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 24.5	    0	0	
 1110	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 24.2	    0	0	
 1140	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.9	    0	0	
 1170	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.8	    0	0	
 1200	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.7	    0	0	
 1230	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.6	    0	0	
 1260	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.5	    0	0	
 1290	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.4	    0	0	
 1320	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.3	    0	0	
 1350	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.3	    0	0	
 1380	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.3	    0	0	
 1410	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.4	    0	0	
 1440	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.4	    0	0	
 1470	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.5	    0	0	
 1500	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.6	    0	0	
 1530	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.7	    0	0	
 1560	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.8	    0	0	
 1590	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.7	    0	0	
 1620	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.8	    0	0	
 1650	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.8	    0	0	
 1680	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 23.9	    0	0	
 1710	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	   24	    0	0	
 1740	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 24.1	    0	0	
 1770	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 24.2	    0	0	
 1800	    0	    0	    0	    0	    0	    0	    0	    0	    0	-1111	 24.1	    0	0	
